No,Model_Type,Batch_Size,Max_Sequence_Length,Learning_Rate,Dropout,F1_Train,F1_Validation,Training_Time
31,cnn,32,128,3e-05,0.2,0.978,0.844,2.1
32,cnn,32,128,3e-05,0.3,0.956,0.855,1.25
33,lstm,16,77,2e-05,0.2,0.943,0.857,1.26
34,lstm,16,77,2e-05,0.3,0.931,0.857,1.19
35,lstm,16,77,3e-05,0.2,0.954,0.868,1.42
36,lstm,16,77,3e-05,0.3,0.952,0.845,1.38
37,lstm,16,128,2e-05,0.2,0.943,0.868,1.18
38,lstm,16,128,2e-05,0.3,0.922,0.846,1.34
39,lstm,16,128,3e-05,0.2,0.942,0.868,1.18
40,lstm,16,128,3e-05,0.3,0.939,0.832,1.17
