No,Model_Type,Batch_Size,Max_Sequence_Length,Learning_Rate,Dropout,F1_Train,F1_Validation,Training_Time
11,mlp,32,77,3e-05,0.2,0.974,0.897,2.79
12,mlp,32,77,3e-05,0.3,0.933,0.893,1.95
13,mlp,32,128,2e-05,0.2,0.946,0.904,2.17
14,mlp,32,128,2e-05,0.3,0.908,0.88,2.29
15,mlp,32,128,3e-05,0.2,0.966,0.908,2.33
16,mlp,32,128,3e-05,0.3,0.925,0.883,3.24
17,cnn,16,77,2e-05,0.2,0.993,0.907,2.49
18,cnn,16,77,2e-05,0.3,0.991,0.904,2.4
19,cnn,16,77,3e-05,0.2,0.997,0.922,2.33
20,cnn,16,77,3e-05,0.3,0.997,0.907,2.27
