No,Model_Type,Batch_Size,Max_Sequence_Length,Learning_Rate,Dropout,F1_Train,F1_Validation,Training_Time
11,mlp,32,77,3e-05,0.2,0.947,0.834,2.16
12,mlp,32,77,3e-05,0.3,0.864,0.786,1.78
13,mlp,32,128,2e-05,0.2,0.925,0.846,2.13
14,mlp,32,128,2e-05,0.3,0.885,0.812,1.46
15,mlp,32,128,3e-05,0.2,0.945,0.834,1.31
16,mlp,32,128,3e-05,0.3,0.911,0.811,1.18
17,cnn,16,77,2e-05,0.2,0.99,0.856,1.85
18,cnn,16,77,2e-05,0.3,0.99,0.868,1.26
19,cnn,16,77,3e-05,0.2,0.984,0.9,1.09
20,cnn,16,77,3e-05,0.3,0.996,0.889,1.33
