No,Model_Type,Batch_Size,Max_Sequence_Length,Learning_Rate,Dropout,F1_Train,F1_Validation,Training_Time
21,cnn,16,128,2e-05,0.2,0.993,0.911,3.17
22,cnn,16,128,2e-05,0.3,0.992,0.893,2.21
23,cnn,16,128,3e-05,0.2,0.995,0.903,2.57
24,cnn,16,128,3e-05,0.3,0.993,0.9,2.39
25,cnn,32,77,2e-05,0.2,0.963,0.9,1.86
26,cnn,32,77,2e-05,0.3,0.988,0.9,1.91
27,cnn,32,77,3e-05,0.2,0.974,0.9,2.26
28,cnn,32,77,3e-05,0.3,0.994,0.896,1.75
29,cnn,32,128,2e-05,0.2,0.984,0.899,2.57
30,cnn,32,128,2e-05,0.3,0.98,0.907,2.35
