No,Model_Type,Batch_Size,Max_Sequence_Length,Learning_Rate,Dropout,F1_Train,F1_Validation,Training_Time
21,cnn,16,128,2e-05,0.2,0.99,0.867,2.39
22,cnn,16,128,2e-05,0.3,0.978,0.846,2.4
23,cnn,16,128,3e-05,0.2,0.998,0.878,2.48
24,cnn,16,128,3e-05,0.3,0.994,0.834,2.44
25,cnn,32,77,2e-05,0.2,0.958,0.844,2.57
26,cnn,32,77,2e-05,0.3,0.956,0.856,2.62
27,cnn,32,77,3e-05,0.2,0.986,0.854,2.78
28,cnn,32,77,3e-05,0.3,0.988,0.845,2.2
29,cnn,32,128,2e-05,0.2,0.953,0.834,2.19
30,cnn,32,128,2e-05,0.3,0.954,0.834,2.17
