Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
rx,@rezasnegara,2024-01-30T12:44:40.000Z,False,Nyimak demam berdarah,0,0,0,272,[],[],[],https://pbs.twimg.com/profile_images/1416019713793032200/fN5Ezz8l_normal.jpg,https://x.com/rezasnegara/status/1752311867157221407,tweet_id:1752311867157221407
KISS FM JEMBER,@kissfmjember,2024-01-30T10:59:14.000Z,False,"Marak Kasus Demam Berdarah di Jember, DPRD Sampaikan 4 Rekomendasi ke Dinkeshttps://kissfmjember.com/2024/01/30/marak-kasus-demam-berdarah-di-jember-dprd-sampaikan-4-rekomendasi-ke-dinkes.html…",0,0,0,62,[],[],[],https://pbs.twimg.com/profile_images/1810161783233249280/v0R1cmWV_normal.jpg,https://x.com/kissfmjember/status/1752285337060364638,tweet_id:1752285337060364638
Humas Polres Teluk Bintuni,@HumasPolrestel2,2024-01-30T10:11:39.000Z,False,"Cegah demam berdarah dengu/DBD, Polres Teluk Bintuni bekerja sama dengan dinas kesehatan, melaksanakan fogging/Pengasapan di asrama Polres Teluk Bintuni.
. ",1,0,2,94,[],"['@DivHumas_Polri', '@humas_poldaPB', '@IndonesiaPolisi']",[],https://pbs.twimg.com/profile_images/1328514399129092096/UYLqk-LO_normal.jpg,https://x.com/HumasPolrestel2/status/1752273359512203343,tweet_id:1752273359512203343
Polda Jambi,@polda_jambi,2024-01-30T10:04:45.000Z,False,"Musim Penghujan, Waspada Demam BerdarahNyamuk Aedes Aegypti penyebab demam berdarah mempunyai peningkatan tempat berkembang biak saat musim hujan, maka dari itu sangat penting untuk membersihkan selokan dari sampah",0,0,1,101,[],[],[],https://pbs.twimg.com/profile_images/582448425955778560/CGo9uGfs_normal.png,https://x.com/polda_jambi/status/1752271625721143404,tweet_id:1752271625721143404
NusaBali.com,@nusabalicom,2024-01-30T06:41:52.000Z,False,"Dinas Kesehatan (Disekes) Bangli memfogging (menyemburkan asap anti nyamuk) di wilayah yang dilaporkan sebagai temuan kasus demam berdarah (DB). Januari 2024, ada 19 kasus DB di Kabupaten Bangli.https://nusabali.com/berita/160238/januari-2024-bangli-dihadiahi-19-kasus-db…",0,0,0,19,[],[],[],https://pbs.twimg.com/profile_images/945080460782092288/GHy0yfmd_normal.jpg,https://x.com/nusabalicom/status/1752220566042587458,tweet_id:1752220566042587458
Rutan Kelas I Tangerang,@rutan_tangerang,2024-01-30T06:26:42.000Z,False,"TANGERANG – Dalam upaya pencegahan penyebaran Demam Berdarah Dengue (DBD), Rumah Tahanan Negara (Rutan) Kelas I Tangerang mengambil langkah tegas dengan melaksanakan fogging di seluruh area lingkungan Rutan pada Selasa (30/01).",0,0,0,65,[],[],[],https://pbs.twimg.com/profile_images/1876134863897858048/JAvJBjs1_normal.jpg,https://x.com/rutan_tangerang/status/1752216752216576198,tweet_id:1752216752216576198
POPMAMA,@Popmama_com,2024-01-30T04:36:03.000Z,False,"Demam Berdarah pada Bayi: Gejala, Pengobatan, dan Risiko",0,1,1,45,[],[],[],https://pbs.twimg.com/profile_images/1920031146198589440/3HkCd5fX_normal.jpg,https://x.com/Popmama_com/status/1752188904671961153,tweet_id:1752188904671961153
Humas Polres Teluk Bintuni,@HumasPolrestel2,2024-01-30T10:11:39.000Z,False,"Cegah demam berdarah dengu/DBD, Polres Teluk Bintuni bekerja sama dengan dinas kesehatan, melaksanakan fogging/Pengasapan di asrama Polres Teluk Bintuni.
. ",1,0,2,94,[],"['@DivHumas_Polri', '@humas_poldaPB', '@IndonesiaPolisi']",[],https://pbs.twimg.com/profile_images/1328514399129092096/UYLqk-LO_normal.jpg,https://x.com/HumasPolrestel2/status/1752273359512203343,tweet_id:1752273359512203343
Polda Jambi,@polda_jambi,2024-01-30T10:04:45.000Z,False,"Musim Penghujan, Waspada Demam BerdarahNyamuk Aedes Aegypti penyebab demam berdarah mempunyai peningkatan tempat berkembang biak saat musim hujan, maka dari itu sangat penting untuk membersihkan selokan dari sampah",0,0,1,101,[],[],[],https://pbs.twimg.com/profile_images/582448425955778560/CGo9uGfs_normal.png,https://x.com/polda_jambi/status/1752271625721143404,tweet_id:1752271625721143404
NusaBali.com,@nusabalicom,2024-01-30T06:41:52.000Z,False,"Dinas Kesehatan (Disekes) Bangli memfogging (menyemburkan asap anti nyamuk) di wilayah yang dilaporkan sebagai temuan kasus demam berdarah (DB). Januari 2024, ada 19 kasus DB di Kabupaten Bangli.https://nusabali.com/berita/160238/januari-2024-bangli-dihadiahi-19-kasus-db…",0,0,0,19,[],[],[],https://pbs.twimg.com/profile_images/945080460782092288/GHy0yfmd_normal.jpg,https://x.com/nusabalicom/status/1752220566042587458,tweet_id:1752220566042587458
