Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Mesa-Mesa,@Name_Mesa,2023-10-31T23:14:28.000Z,False,was about to ask if you know about this ;3,0,0,0,47,[],[],[],https://pbs.twimg.com/profile_images/1810392969486413827/NssWRjuU_normal.jpg,https://x.com/Name_Mesa/status/1719493066892128717,tweet_id:1719493066892128717
竹尾インター,@JOB48,2023-10-31T23:14:25.000Z,False,"トラッパーのくま新スキンいいね
強化も相まって買う人多いんじゃないかな#dbd",0,0,0,102,['#dbd'],[],[],https://pbs.twimg.com/profile_images/1822251280607121408/T_dYzAK6_normal.jpg,https://x.com/JOB48/status/1719493055684948329,tweet_id:1719493055684948329
おろしポン's,@oroshi_pons4,2023-10-31T23:14:24.000Z,False,おはようございます話題のクマさんトラッパーがメメント持ってマッチしたので記念にメメントされてきましたメグ(メディクマ)が同じクマの座に嫉妬して予想外の展開で映り込んでます#dbd#デッドバイデイライト,0,0,26,1.7K,"['#dbd', '#デッドバイデイライト']",[],"['\\U0001f603', '\\U0001f923', '\\U0001f923']",https://pbs.twimg.com/profile_images/1379640106768683008/wP_TV4kv_normal.jpg,https://x.com/oroshi_pons4/status/1719493052346306906,tweet_id:1719493052346306906
jaykob,@JaykobDBD,2023-10-31T23:14:20.000Z,False,For real who is dbdthegame and HugTechLover on dbd forums.,0,0,0,193,[],[],[],https://pbs.twimg.com/profile_images/1776957782710784000/VYTE1xTA_normal.jpg,https://x.com/JaykobDBD/status/1719493035396927812,tweet_id:1719493035396927812
ゆうくん,@alicenine_dbd,2023-10-31T23:14:19.000Z,False,最近のプリクラすごいんだね全然ゲーセン行かんからよく分からん,1,0,1,25,[],[],"['\\U0001f633', '\\U0001f923']",https://pbs.twimg.com/profile_images/1896180428559761408/9hPLsoYf_normal.jpg,https://x.com/alicenine_dbd/status/1719493029114040474,tweet_id:1719493029114040474
𝑬𝒎𝒊,@JK91o_o,2023-10-31T23:14:09.000Z,False,"まかさんおはよ！
今日も頑張ろ└( 'ω')┘ムキッ",1,0,1,28,[],[],['\\U0001f4aa'],https://pbs.twimg.com/profile_images/1914886165486026752/7WrvtUMR_normal.jpg,https://x.com/JK91o_o/status/1719492989062611105,tweet_id:1719492989062611105
Barbell_Bull,@Barbell_Bull,2023-10-31T23:14:08.000Z,False,Some highlights from episode 3 of our mini DBD series for Shpooky month. Hope y'all enjoy!https://youtube.com/@barbell_bull/videos…#DeadbyDaylight #Youtube #streaming #xbox #playstation #pcgaming #contentcreator #humor #comedy #foryou,0,0,0,35,"['#DeadbyDaylight', '#Youtube', '#streaming', '#xbox', '#playstation', '#pcgaming', '#contentcreator', '#humor', '#comedy', '#foryou']",['https://youtube.com/@barbell_bull/videos…'],[],https://pbs.twimg.com/profile_images/1661832133277523987/Krgq5SmM_normal.jpg,https://x.com/Barbell_Bull/status/1719492983672737945,tweet_id:1719492983672737945
さききち,@PXYOveDBD,2023-10-31T23:13:58.000Z,False,終わり良ければ全て良し,0,0,0,29,[],[],[],https://pbs.twimg.com/profile_images/1706539687811428352/9rXgMSsz_normal.jpg,https://x.com/PXYOveDBD/status/1719492941507617276,tweet_id:1719492941507617276
FNaF For Dead by Daylight,@FNaF4DBD,2023-10-31T23:13:36.000Z,False,"Simple, I don't care about clown",1,0,2,1.7K,[],[],[],https://pbs.twimg.com/profile_images/1809999436325470208/1NtQZbYe_normal.jpg,https://x.com/FNaF4DBD/status/1719492850650395125,tweet_id:1719492850650395125
テルミドール,@Thermidor4946,2023-10-31T23:13:33.000Z,False,"おはようございます(*^^*)

昨日は私のわがままにお付き合いいただきありがとうございました。
とても楽しいハロウィンでした（笑）
またお願いします！
今日もやるよ〜（笑）
1日ご安全に〜！

☆遊んでくれた人 ☆ 
師匠、よっちゃん、ねず＆きょこ

 #DbD #ハロウィンマイケルに会えず",3,0,10,260,"['#DbD', '#ハロウィンマイケルに会えず']",[],[],https://pbs.twimg.com/profile_images/1871507187320942592/k62uFmRD_normal.jpg,https://x.com/Thermidor4946/status/1719492837526700404,tweet_id:1719492837526700404
