Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
リコ,@ex_plp_R,2024-04-30T23:37:27.000Z,False,"#dbd#dbdフレンド募集 
いやどういう構図？",0,0,1,148,"['#dbd', '#dbdフレンド募集']",[],[],https://pbs.twimg.com/profile_images/1735078572501680128/khBbfMNm_normal.jpg,https://x.com/ex_plp_R/status/1785453440988275060,tweet_id:1785453440988275060
heyallscotthere,@heyallscotth3re,2024-04-30T23:37:23.000Z,False,this might be the worst fnf roblox clone ive ever seen im gonna clown dbd mori whoever made this slop,0,0,1,97,[],[],[],https://pbs.twimg.com/profile_images/1919570393658011648/XQa5rrsA_normal.jpg,https://x.com/heyallscotth3re/status/1785453426542801210,tweet_id:1785453426542801210
Tubarão (DBD),@StinsonKailin,2024-04-30T23:37:18.000Z,False,alright thats fine i will,1,0,1,41,[],[],[],https://pbs.twimg.com/profile_images/1784368919622410240/bNf0pLG8_normal.png,https://x.com/StinsonKailin/status/1785453404925428139,tweet_id:1785453404925428139
龍角散,@fal_dbd,2024-04-30T23:36:53.000Z,False,そうか、47か,1,0,1,45,[],[],['\\U0001f914'],https://pbs.twimg.com/profile_images/1795635665989963777/mcIp7iPI_normal.jpg,https://x.com/fal_dbd/status/1785453300432896277,tweet_id:1785453300432896277
SUSsie,@Susie_from_DBD,2024-04-30T23:36:32.000Z,False,Last game i played with mori i killed everyone except a Sable//,1,0,1,33,[],[],[],https://pbs.twimg.com/profile_images/1782402401724452864/nzyglZ2h_normal.jpg,https://x.com/Susie_from_DBD/status/1785453212431990879,tweet_id:1785453212431990879
Jeff Johansen,@JeffJohansenDBD,2024-04-30T23:36:23.000Z,False,Humans need the rules.. believe me.. I learned the hard way in regards to rule 34...,0,0,0,63,[],[],[],https://pbs.twimg.com/profile_images/1801755051804758016/h2M_bQBm_normal.jpg,https://x.com/JeffJohansenDBD/status/1785453173164974297,tweet_id:1785453173164974297
らくのん,@rakunon42190,2024-04-30T23:36:20.000Z,False,推せるときに推しとけhttps://twitcasting.tv/rakunon42190/movie/792644089…,0,0,0,24,[],[],[],https://pbs.twimg.com/profile_images/1779836672823439361/_8zZtzLP_normal.jpg,https://x.com/rakunon42190/status/1785453162192904654,tweet_id:1785453162192904654
bluesky,@vegasrot,2024-04-30T23:36:13.000Z,False,miles. // dbd was rancid ,0,0,0,51,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1806659626378891264/qB1wRk5T_normal.png,https://x.com/vegasrot/status/1785453133013127443,tweet_id:1785453133013127443
The Trapper,@EvanMacMillan__,2024-04-30T23:36:08.000Z,False,"Well, I did pull a big hottie, so I guess I do have impeccable rizz.",1,0,1,16,[],[],[],https://pbs.twimg.com/profile_images/1875542520018468864/a5L4ENxC_normal.jpg,https://x.com/EvanMacMillan__/status/1785453112330781156,tweet_id:1785453112330781156
DBD,@doodlebopdrop,2024-04-30T23:35:48.000Z,True,"hey boston loved you in philly cuh good luck with the rams, hopefully they play the giants this year",0,0,0,71,[],[],[],https://pbs.twimg.com/profile_images/1608239404228743168/MZD7qFwn_normal.jpg,https://x.com/doodlebopdrop/status/1785453026968223947,tweet_id:1785453026968223947
ワンオク69（オッKJ）,@OneOk6910,2024-04-30T23:35:42.000Z,False,"最近のdbdは（鯖）
通電してゲート確認して
一瞬で方向音痴炸裂して
よくわからんけど吊られてます",0,0,6,125,[],[],['\\U0001fae5'],https://pbs.twimg.com/profile_images/1902854954899197952/nA0VCkmX_normal.jpg,https://x.com/OneOk6910/status/1785453000187941145,tweet_id:1785453000187941145
MidoriGameCH,@midoch38524544,2024-04-30T23:35:32.000Z,False,DBDまたバグってるの,1,0,0,149,[],[],[],https://pbs.twimg.com/profile_images/1824384432247386112/NS1vjtEZ_normal.jpg,https://x.com/midoch38524544/status/1785452961927409887,tweet_id:1785452961927409887
the LESBIAN nurse,@SallySmithsnDBD,2024-04-30T23:35:21.000Z,False,interesting................. i may to have to see the doctor about this..................,1,0,1,49,[],[],[],https://pbs.twimg.com/profile_images/1781584023967367168/0pf-ojhS_normal.jpg,https://x.com/SallySmithsnDBD/status/1785452916171550810,tweet_id:1785452916171550810
